train_loss↓_step,train_llk,train_ellk,train_kl,train_loss,train_loss↓,train_loss↓_epoch,eval_loss↓,val_llk,val_ellk,val_kl,test_loss↓,test_elbo↑,test_expected_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_ood_sample_fit_mae↓,test_ood_sample_fit_rmse↓,test_ood_sample_mean_mse↑
-2047.59130859375,231171.96875,2064.03564453125,16.444128036499023,-2047.59130859375,-2047.59130859375,-2079.74658203125,-1830.7303466796875,235848.421875,1846.983154296875,16.252729415893555,-1909.234619140625,1909.234619140625,1925.47021484375,0.05950630456209183,0.11612267792224884,0.016879305243492126,0.06026323139667511,0.09181222319602966,0.17248819768428802,0.0,0.0,0.0
-2061.319091796875,232625.390625,2077.012451171875,15.693245887756348,-2061.319091796875,-2061.319091796875,-2081.42236328125,-1769.9462890625,227973.734375,1785.8787841796875,15.932452201843262,-1841.8916015625,1841.8916015625,1857.81884765625,0.059550121426582336,0.1162710189819336,0.015601210296154022,0.0493142306804657,0.08885573595762253,0.16631215810775757,0.0,0.0,0.0
-1964.535400390625,221781.71875,1980.1939697265625,15.658651351928711,-1964.535400390625,-1964.535400390625,-2066.22607421875,-1922.734619140625,247514.578125,1938.4608154296875,15.726181983947754,-1941.010009765625,1941.010009765625,1956.68603515625,0.060204606503248215,0.11714663356542587,0.01803021878004074,0.05428816005587578,0.09636907279491425,0.17871060967445374,0.0,0.0,0.0
-2079.01904296875,234590.578125,2094.558837890625,15.53969955444336,-2079.01904296875,-2079.01904296875,-2062.873291015625,-1908.3564453125,245700.15625,1924.14501953125,15.788334846496582,-1910.6995849609375,1910.6995849609375,1926.529052734375,0.05964748561382294,0.11646509915590286,0.016439875587821007,0.06492582708597183,0.09111377596855164,0.17066717147827148,0.0,0.0,0.0
-2164.344482421875,244250.390625,2180.80712890625,16.462793350219727,-2164.344482421875,-2164.344482421875,-2096.513671875,-1899.3563232421875,244596.515625,1915.748291015625,16.391944885253906,-1943.6385498046875,1943.6385498046875,1959.9852294921875,0.05926140025258064,0.1158919706940651,0.01646411418914795,0.057982683181762695,0.09057752043008804,0.17024163901805878,0.0,0.0,0.0
-2128.1806640625,240134.375,2144.05712890625,15.876080513000488,-2128.1806640625,-2128.1806640625,-2072.87548828125,-1807.313720703125,232715.25,1823.0780029296875,15.764388084411621,-1927.5323486328125,1927.5323486328125,1943.2635498046875,0.059774000197649,0.1166323721408844,0.016601502895355225,0.05563425272703171,0.09174840152263641,0.1716962456703186,0.0,0.0,0.0
-2081.493408203125,234904.921875,2097.365478515625,15.872037887573242,-2081.493408203125,-2081.493408203125,-2055.353515625,-1290.0040283203125,166563.71875,1306.02001953125,16.01605224609375,-1886.01318359375,1886.01318359375,1901.9814453125,0.05942271649837494,0.11608565598726273,0.01637057401239872,0.05098479241132736,0.09099989384412766,0.1702219545841217,0.0,0.0,0.0
-2062.1767578125,232755.109375,2078.170654296875,15.99393081665039,-2062.1767578125,-2062.1767578125,-2068.45947265625,-1939.18603515625,249633.53125,1955.057373046875,15.87136459350586,-1918.85400390625,1918.85400390625,1934.68994140625,0.0605555959045887,0.1172463595867157,0.016570301726460457,0.049715686589479446,0.09251658618450165,0.17207618057727814,0.0,0.0,0.0
-2104.048583984375,237471.09375,2120.27783203125,16.229007720947266,-2104.048583984375,-2104.048583984375,-2086.230224609375,-1930.0350341796875,248521.125,1946.0233154296875,15.98843765258789,-1915.5028076171875,1915.5028076171875,1931.50244140625,0.059545714408159256,0.11652391403913498,0.016069775447249413,0.0518314391374588,0.08990231901407242,0.16906937956809998,0.0,0.0,0.0
-2089.82666015625,235815.59375,2105.49658203125,15.669756889343262,-2089.82666015625,-2089.82666015625,-2075.075439453125,-1943.438720703125,250191.359375,1959.2669677734375,15.828222274780273,-1819.2490234375,1819.2490234375,1835.0977783203125,0.05987174063920975,0.11658112704753876,0.01597590558230877,0.04716342315077782,0.09088017791509628,0.16956916451454163,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
-2078.2535400390625,234550.1140625,2094.1975708007812,15.943933200836181,-2078.2535400390625,-2078.2535400390625,-2074.4776123046877,-1824.11015625,234925.8390625,1840.0661743164062,15.956010818481445,-1901.3625732421874,1901.3625732421874,1917.3024536132812,0.05973396860063076,0.11649668291211128,0.016500278376042843,0.05421037264168262,0.09147757068276405,0.17110527008771897,0.0,0.0,0.0
52.843583024485106,5933.996306154989,52.98213343193487,0.33262562339941043,52.843583024485106,52.843583024485106,12.0523158501594,197.12293938395848,25231.632446172916,197.0942449042696,0.21716420052865354,41.115170391826425,41.115170391826425,41.1411020760624,0.00038957291229422327,0.0004393374249137237,0.0006489248592794457,0.005553972288423506,0.0020020715175542545,0.0032014237557013462,0.0,0.0,0.0
